"Commande_key","Code_commande","Statut_commande","Mode_paiement","Methode_livraison","Frais_livraison","Remise_panier","Montant_total"
1,"14148","En cours","Pay in Person","Livraison à domicile","8","0","8"
2,"14146","En cours","Wallet payment","Livraison à domicile","8","0","98"
3,"14145","En cours","Pay in Person","Livraison à domicile","0","0","53"
6,"14144","En cours","Wallet payment","Livraison à domicile","8","0","98"
7,"14143","En cours","Wallet payment","Livraison à domicile","8","0","98"
8,"14141","En cours","Pay in Person","Livraison à domicile","8","0","108"
9,"14140","En cours","Pay in Person","Livraison à domicile","8","0","13"
13,"14139","En cours","Wallet payment","Livraison à domicile","8","0","83"
15,"14138","En cours","Pay in Person","Livraison à domicile","8","0","66"
16,"14137","En cours","Pay in Person","Livraison à domicile","0","0","84"
17,"14136","En cours","Pay in Person","Livraison à domicile","8","0","6"
19,"14135","Terminée","Pay in Person","Livraison à domicile","8","0","73"
20,"14134","Terminée","Pay in Person","Livraison à domicile","8","0","38"
21,"14133","En cours","Pay in Person","Livraison à domicile","8","0","32"
23,"14132","En cours","Wallet payment","Livraison à domicile","8","0","98"
24,"14131","En cours","Pay in Person","Livraison à domicile","8","0","8"
25,"14130","En cours","Pay in Person","Livraison à domicile","8","0","28"
26,"14129","En cours","Pay in Person","Livraison à domicile","8","0","7,9"
28,"14128","En cours","Wallet payment","Livraison à domicile","8","0","98"
29,"14127","En cours","Pay in Person","Livraison à domicile","8","0","98"
30,"14126","En cours","Wallet payment","Livraison à domicile","8","0","98"
31,"14125","En cours","Wallet payment","Livraison à domicile","8","0","98"
32,"14124","En cours","Pay in Person","Livraison à domicile","8","0","83"
35,"14123","En cours","Wallet payment","Livraison à domicile","8","0","98"
36,"14122","En cours","Pay in Person","Livraison à domicile","8","0","98"
37,"14121","En cours","Wallet payment","Livraison à domicile","8","0","98"
38,"14120","En cours","Wallet payment","Livraison à domicile","8","0","98"
39,"14119","En cours","Pay in Person","Livraison à domicile","8","0","13"
41,"14118","Terminée","Pay in Person","Livraison à domicile","0","0","50"
43,"14117","En cours","Pay in Person","Livraison à domicile","8","0","8"
47,"14116","En cours","Pay in Person","Livraison à domicile","8","0","8"
48,"14115","En cours","Wallet payment","Livraison à domicile","8","0","97,9"
51,"14114","En cours","Pay in Person","Livraison à domicile","8","0","66"
52,"14113","En cours","Wallet payment","Livraison à domicile","8","0","97,9"
55,"14112","En cours","Pay in Person","Livraison à domicile","0","0","50"
56,"14111","En cours","Pay in Person","Livraison à domicile","8","0","131"
59,"14110","En cours","Wallet payment","Livraison à domicile","8","0","87,9"
61,"14109","En cours","Pay in Person","Livraison à domicile","8","0","87,9"
63,"13515","Terminée","Pay in Person","Non renseigné","0","0","225"
64,"14108","En cours","Wallet payment","Livraison à domicile","8","0","98"
65,"14107","En cours","Wallet payment","Livraison à domicile","8","0","98"
66,"14105","En cours","Pay in Person","Livraison à domicile","8","0","98"
67,"14104","En cours","Pay in Person","Livraison à domicile","8","0","1"
69,"14103","Terminée","Pay in Person","Livraison à domicile","8","0","7,8"
70,"14102","En cours","Pay in Person","Livraison à domicile","8","0","14"
72,"14100","En cours","Wallet payment","Livraison à domicile","8","0","98"
73,"14099","En cours","Wallet payment","Livraison à domicile","8","0","98"
74,"14098","En cours","Wallet payment","Livraison à domicile","8","0","98"
76,"14097","En cours","Pay in Person","Livraison à domicile","8","0","8"
80,"14096","En cours","Pay in Person","Livraison à domicile","8","0","13"
82,"14095","En cours","Wallet payment","Livraison à domicile","8","0","97,9"
85,"14094","En cours","Pay in Person","Livraison à domicile","8","0","27"
86,"14093","En cours","Pay in Person","Livraison à domicile","8","0","16,9"
89,"14092","En cours","Wallet payment","Livraison à domicile","8","0","98"
91,"14090","En cours","Pay in Person","Livraison à domicile","8","0","27"
92,"14089","En cours","Pay in Person","Livraison à domicile","8","0","7,8"
93,"14087","En cours","Pay in Person","Livraison à domicile","8","0","7,9"
96,"14086","En cours","Pay in Person","Livraison à domicile","8","0","7,9"
98,"14085","En cours","Wallet payment","Livraison à domicile","8","0","88"
99,"14084","En cours","Wallet payment","Livraison à domicile","8","0","98"
100,"14082","Terminée","Wallet payment","Livraison à domicile","8","0","98"
101,"14080","En cours","Wallet payment","Livraison à domicile","8","0","98"
102,"14079","En cours","Wallet payment","Livraison à domicile","8","0","98"
103,"14077","Terminée","Wallet payment","Livraison à domicile","8","0","93"
105,"14076","Terminée","Pay in Person","Livraison à domicile","8","0","23"
107,"14075","Terminée","Pay in Person","Livraison à domicile","8","0","27"
108,"14074","Terminée","Wallet payment","Livraison à domicile","8","0","98"
109,"14073","Terminée","Pay in Person","Livraison à domicile","8","0","27"
110,"14072","Terminée","Wallet payment","Livraison à domicile","8","0","98"
111,"14071","Terminée","Pay in Person","Livraison à domicile","8","0","8"
114,"14069","Terminée","Pay in Person","Livraison à domicile","8","0","7,9"
116,"14068","Terminée","Pay in Person","Livraison à domicile","8","0","33"
117,"14067","Terminée","Pay in Person","Livraison à domicile","8","0","27"
118,"14064","Terminée","Wallet payment","Livraison à domicile","8","0","98"
119,"14063","Terminée","Pay in Person","Livraison à domicile","8","0","8"
121,"14062","Terminée","Wallet payment","Livraison à domicile","8","0","93"
124,"14061","Terminée","Pay in Person","Livraison à domicile","8","0","98"
127,"14059","Terminée","Pay in Person","Livraison à domicile","8","0","32"
129,"14058","Terminée","Wallet payment","Livraison à domicile","8","0","88"
130,"14057","Terminée","Wallet payment","Livraison à domicile","8","0","92"
133,"14055","Terminée","Pay in Person","Livraison à domicile","8","0","12"
137,"14054","Terminée","Pay in Person","Livraison à domicile","8","0","8"
138,"14053","Terminée","Pay in Person","Livraison à domicile","8","0","7,9"
141,"14052","Terminée","Pay in Person","Livraison à domicile","8","0","8"
144,"14051","Terminée","Pay in Person","Livraison à domicile","8","0","4"
146,"14049","Terminée","Pay in Person","Livraison à domicile","8","0","88"
149,"14047","Terminée","Pay in Person","Livraison à domicile","8","0","23"
152,"14041","Terminée","Pay in Person","Livraison à domicile","8","0","8"
153,"14039","Terminée","Pay in Person","Livraison à domicile","8","0","14"
155,"14027","Terminée","Pay in Person","Livraison à domicile","8","0","107,9"
157,"14021","Terminée","Pay in Person","Livraison à domicile","8","0","13"
