"vente_key","date_key","client_key","canal_key","produit_key","commande_key","reclamation_key","quantite","prix_unitaire_ht","montant_ht","montant_tva","montant_ttc","montant_remise","revenue"
1,20250327,1,1,0,0,NULL,850,"66.5","56525","10739.75","67264.75","0","56525"
2,20250327,1,1,0,0,NULL,1,"1500","1500","285","1785","0","1500"
3,20250306,3,1,0,0,NULL,33,"66.5","2194.5","416.955","2611.455","0","2194.5"
4,20251126,4,1,0,0,NULL,5,"220","1100","209","1309","0","1100"
5,20251126,4,1,0,0,NULL,15,"170","2550","484.5","3034.5","0","2550"
6,20251215,4,1,0,0,NULL,20,"170","3400","646","4046","0","3400"
7,20251215,4,1,0,0,NULL,1,"425","425","80.75","505.75","0","425"
8,20251215,4,1,0,0,NULL,20,"15","300","57","357","0","300"
9,20250411,9,1,0,0,NULL,1,"54.62","54.62","10.377799999999999","64.9978","0","54.62"
10,20250411,9,1,0,0,NULL,1,"48.73","48.73","9.2587","57.988699999999994","0","48.73"
11,20250411,9,1,0,0,NULL,2,"40.33","80.66","15.3254","95.9854","0","80.66"
12,20250411,9,1,0,0,NULL,1,"40.33","40.33","7.6627","47.9927","0","40.33"
13,20250103,13,1,4,0,NULL,500,"100","50000","9500","59500","0","50000"
14,20251118,14,1,0,0,NULL,1500,"1.19","1785","339.15","2124.15","0","1785"
15,20251216,15,1,0,0,NULL,20,"36","720","136.8","856.8","0","720"
16,20251216,15,1,0,0,NULL,20,"50","1000","190","1190","0","1000"
17,20250102,17,1,0,0,NULL,7,"32","224","42.56","266.56","0","224"
18,20250102,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
19,20250203,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
20,20250203,17,1,0,0,NULL,5,"32","160","30.4","190.39999999999998","0","160"
21,20250203,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
22,20250302,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
23,20250302,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
24,20250302,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
25,20250302,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
26,20250302,17,1,0,0,NULL,1,"15","15","2.85","17.849999999999998","0","15"
27,20250403,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
28,20250403,17,1,0,0,NULL,4,"32","128","24.32","152.32","0","128"
