"Produit_key","Code_Produit","Nom_Produit","Categorie","Sous_Categorie","Matiere","Prix_Vente_HT","Prix_Promo","En_Stock","Publie_Web"
1," TSC-ART-001","Magnet Fridge en bois d'olivierCollection Émotion – Tasses & Soucoupes Artisanales","Non catalogué","","Autre","0","0",False,False
2,"AGM-001-LIB","Agrafeuse Maped","Non catalogué","","Autre","0","0",False,False
3,"AS-001-MF","Abonnement annuel salle de sport","Non catalogué","","Autre","0","0",False,False
4,"BA","Bon d'achat de 100dt","Non catalogué","","Autre","0","0",False,False
5,"BB-001-FP","Boudha en béton noir","Déco","Sculptures","Autre","44","0",False,False
6,"BB-002-FP","Boudha en béton doré","Non catalogué","","Autre","0","0",False,False
7,"BC-001-RL","Boîte en céramique avec calligraphie arabe bleue","Non catalogué","","Bois Olivier","0","0",False,False
8,"BC-002-RL","Boîte rectangulaire en céramique avec couvercle décoré de motifs géométriques","Arts de la table","Céramiques","Bois Olivier","15","0",False,False
9,"BC-003-RL","Boîte en céramique avec calligraphie arabe bleue 2","Arts de la table","Céramiques","Bois Olivier","15","0",False,False
10,"BC-004-RL","Boîte carré en céramique avec couvercle décoré de motifs géométriques","Arts de la table, Shop","Arts de la table","Bois Olivier","0","0",False,False
11,"BC-005-RL","Boîte en céramique ronde OTTOMAN","Arts de la table","Céramiques","Bois Olivier","15","0",False,False
12,"BCL-001-RL","Bouteille en céramique décorée avec bouchon en liège","Arts de la table, Shop","Arts de la table","Bois Olivier","0","0",False,False
13,"BCL-002-RL","Bouteille en Céramique à Motifs Andalous","Arts de la table","Céramiques","Bois Olivier","20","0",False,False
14,"BCL-003-RL","Bouteille en Céramique à Motifs Andalous 2","Non catalogué","","Bois Olivier","0","0",False,False
15,"BCL-004-RL","Bouteille en Céramique à Motif VISAGE ","Non catalogué","","Bois Olivier","0","0",False,False
16,"BCL-005-RL","Bouteille en Céramique à Motif Calligraphie 1","Non catalogué","","Bois Olivier","0","0",False,False
17,"BCL-006-RL","Bouteille en Céramique à Motif Fleurs","Non catalogué","","Bois Olivier","0","0",False,False
18,"BCM-001-KB","Bonbonniére Cuivre martelé 1","Arts de la table","Cuivres","Cuivre","80","0",False,False
19,"BP-001-SO","Bougie Parfumée Sougui","Non catalogué","","Bois","0","0",False,False
20,"BPB-001-FP","Bougie Piccolo en béton","Non catalogué","","Autre","0","0",False,False
21,"BVC-001-KB","Boîte en verre avec couvercle en cuivre martelé","Arts de la table","Cuivres, Shop","Cuivre","65","0",False,False
22,"BVC-002-SO","Bonbonnières en verre soufflé & cuivre martelé","Arts de la table","Cuivres, Shop","Bois","0","0",False,False
23,"CCL-001-RL","Cruche en céramique circulaire avec motifs andalous jaunes et bleus","Arts de la table","Céramiques","Bois Olivier","20","0",False,False
24,"CFA-001-SO","Coffret Flamme d’artisan – Jasmin Noir ou Silex","Non catalogué","","Bois","85","49.9",False,False
25,"CFV-001-MHN","Grande Corbeille en fibre végétale","Non catalogué","","Autre","0","0",False,False
26,"CFV-002-MHN","Peti corbeille en fibre végétale","Non catalogué","","Autre","0","0",False,False
27,"CGO-001-2M","Carafe et 6 Gobelets « Olivéa » en Grès – Élégance Naturelle et Authentique","Arts de la table","Service de Table","Autre","99","90",False,False
28,"CGS-001-2M","Carafe et 6 Gobelets « Séa » en Grès – Élégance Naturelle et Authentique","Arts de la table","Service de Table","Autre","99","90",False,False
29,"CGS-002-2M","Carafe et 6 Gobelets « Séli » en Grès – Élégance Naturelle et Authentique","Arts de la table","Service de Table","Autre","99","90",False,False
30,"COU-CUIR-FOUTA-002","Couffin artisanal en fibre végétale – Anses cuir & fouta offerte","Couffins & Foutas, Shop","Gifts","Autre","90","0",False,False
